rasio_hutang,stabilitas,resiko
5.475909494914265,6.817058185317222,1
5.854841672098697,4.556696401291003,0
5.967125238611464,7.091274198149478,1
3.8110971198142733,4.749230359152772,2
2.99875098459602,5.69350220511887,2
5.094975326247296,6.456170331425728,1
6.321839327941647,2.465015445218443,0
4.985647956544932,6.398349565528372,1
3.3560866094512147,5.330191802797907,2
4.332369492274179,3.819880420756922,2
3.7322681150914274,5.282821473757281,2
4.5841138544791935,7.0854695681856406,0
3.6984403028732546,5.60303112421155,1
5.1719561332083615,6.4242828969733825,1
3.7404801692973457,4.63734696852167,2
3.4008653411180343,5.3780176258827,2
5.242870371955288,6.5532447402925715,1
4.9929735930454315,6.482528114740269,1
5.480233942423086,6.757087996621229,1
3.496145263262192,4.80616790044536,2
5.074885337503209,5.229874435961271,0
2.5606324219805114,6.23346898683869,2
5.644676124463969,5.300321116623236,0
5.703984766797597,2.6711478999719556,0
5.531884445508614,5.850464172820012,0
6.752730965622488,7.590637158335919,1
3.3395007329705475,5.366888432779636,1
6.467946715012792,7.3319902375275925,1
4.147192672705043,4.221698993796385,2
4.6415825006941756,6.252012869795656,1
6.668656261690737,7.432877763732371,1
4.773877712884086,4.4072914894571875,0
5.939757047458887,3.9918986028115295,0
7.287741387282468,7.971610379808983,1
8.407946527070502,8.501497191518812,1
4.495499932470231,4.020343961096534,2
6.140896794240019,2.4222216010827466,0
7.10796633743768,3.011316667174611,0
5.7102106742738705,5.174053334838302,0
3.374078038438208,5.099356618317386,2
3.1976949732110387,5.830177755717135,2
5.358881445720001,6.631352859872963,1
6.58865916120557,3.6929502628442776,0
5.348858232258051,5.8951939467528085,0
6.5689797327699875,7.496485599978412,1
4.09208614318872,4.562121484907767,2
5.44992334459887,6.6995834566862325,1
4.684392519381015,3.614058031500496,2
4.487092444621804,6.117149003484803,1
4.808441906179686,5.886086527422421,0
4.08249903776092,4.6224194354889985,2
5.45314516857785,6.656445409554095,1
4.6712972880536014,6.254157928166659,1
4.178107667672766,4.582875497206828,2
4.553568553184862,5.505698406307919,0
5.41829259959102,6.704327721510228,1
3.9790794658668927,4.809285230806136,2
3.230346041976715,6.652557592633577,0
5.84768592873527,7.0053470310832395,2
2.8108291819990967,5.91975131680025,2
6.138843159437494,2.9632848398477476,0
